"Refund Shipping (Excl. Tax)","Hoàn lại vận chuyển (Excl. Tax)"
"Refund Shipping (Incl. Tax)","Hoàn lại vận chuyển (Incl. Tax)"
"Refund Totals","Tổng hoàn lại"
"Refunded","Đã hoàn lại"
"Refunded amount of %s offline.","Số lượng đã hoàn lại của %s offline."
"Refunded amount of %s online.","số lượng đã hoàn lại của %s online."
"Refunds","Hoàn lại tiền"
"Registered a Void notification.","Đã đăng kí vô hiệu hóa một thông báo."
"Registered notification about approved payment.","Registered notification about approved payment."
"Registered notification about captured amount of %s.","Registered notification about captured amount of %s."
"Registered notification about denied payment.","Registered notification about denied payment."
"Registered notification about refunded amount of %s.","Registered notification about refunded amount of %s."
"Registered update about approved payment.","Registered update about approved payment."
"Registered update about denied payment.","Registered update about denied payment."
"Regular Payment","Việc thanh toán thường xuyên"
"Related Orders","Đơn đặt hàng liên quan"
"Remove","Hủy bỏ"
"Remove Coupon Code","Hủy bỏ mã phiếu"
"Remove tracking number","Hủy bỏ số theo dõi"
"Reorder","sắp xếp lại"
"Retrieve credit memo info","Lấy thông tin ghi nhớ tín dụng"
"Retrieve credit memo information","Lấy thông tin ghi nhớ tín dụng"
"Retrieve credit memo list","Lấy danh sách bản ghi nhớ tín dụng"
"Retrieve invoice info","Lấy thông tin hóa đơn"
"Retrieve invoice information","Lấy thông tin hóa đơn"
"Retrieve list of credit memos by filters","Lấy danh sách các bản ghi nhớ tín dụng bởi các bộ lọc"
"Retrieve list of invoices by filters","Retrieve list of invoices by filters"
"Retrieve list of orders by filters","Retrieve list of orders by filters"
"Retrieve list of shipments by filters","Retrieve list of shipments by filters"
"Retrieve order information","Lấy thông tin đơn hàng"
"Retrieve orders info","Lấy thông tin các đơn hàng"
"Retrieve shipment info","Lấy thông tin vận chuyển"
"Retrieve shipment information","Retrieve shipment information"
"Return to Stock","Trở về kho"
"Returned","Đã trở về"
"Returns","Trả lại"
"Revenue","Doanh thu"
"Row Subtotal","Tổng hàng"
"Row Total","Tổng hàng"
"SHIP TO:","CHUYỂN ĐẾN:"
"SKU","MÃ HÀNG"
"SOLD TO:","SOLD TO:"
"Sales","Bán hàng"
"Sales Discount","Chiết khấu Giám giá"
"Sales Emails","Mail giảm giá"
"Sales Emails Section","Sales Emails Section"
"Sales Invoice Print View","Sales Invoice Print View"
"Sales Items","Mục giản giá"
"Sales Order Print View","Sales Order Print View"
"Sales Section","Sales Section"
"Sales Shipment Print View","Sales Shipment Print View"
"Sales Shipping","Sales Shipping"
"Sales Tax","Sales Tax"
"Sales Total","Sales Total"
"Same As Billing Address","Sét địa chỉ vận chuyển như địa chỉ nhận hàng"
"Save Order Address","Save Order Address"
"Save Status","Save Status"
"Save Status Assignment","Save Status Assignment"
"Save in address book","Save in address book"
"Schedule","Schedule"
"Select","Lựa chọn"
"Select All","Chọn tất cả"
"Select from existing customer addresses:","Chọn địa chỉ khách hàng:"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Send Credit Memo Comments Email Copy Method"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Email","Send Email"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Send Invoice Comments Email Copy Method"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Send Order Comments Email Copy Method"
"Send Order Email","Send Order Email"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Send Order Email Copy To","Send Order Email Copy To"
"Send Sales Emails","Send Sales Emails"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Send Shipment Comments Email Copy Method"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Tracking Information","Send Tracking Information"
"Set order for existing transactions not allowed","Set order for existing transactions not allowed"
"Ship","Vận chuyển"
"Ship To","Vận chuyển đến"
"Ship to Name","Tên vận chuyển"
"Shipment","Hàng hóa"
"Shipment #","Hàng hóa #"
"Shipment #%1$s | %3$s (%2$s)","Hàng hóa #%1$s | %3$s (%2$s)"
"Shipment #%s","Hàng hóa #%s"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Shipment Comments","Các nhận xét vận chuyển"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Shipment Update","Cập nhật hàng hóa"
"Shipment Update for Guest","Cập nhật hàng hóa cho khách"
"Shipments","Hàng hóa"
"Shipped","Vận chuyển"
"Shipped By","Vận chuyển bởi"
"Shipping","Vận chuyển"
"Shipping & Handling","Phí vận chuyển"
"Shipping &amp; Handling","Vận chuyển &amp; Xử lý"
"Shipping &amp; Handling Information","Phí vận chuyển"
"Shipping Address","Địa chỉ vận chuyển"
"Shipping Amount","Số lượng vận chuyển"
"Shipping Information","Thông tin vận chuyển"
"Shipping Method","Phương thức vận chuyển"
"Shipping Method:","Phương thức vận chuyển:"
"Shipping Refund","Trả vận chuyển"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Shopping Cart","Giỏ hàng"
"Show Packages","Gói hiển thị"
"Signature Confirmation","Signature Confirmation"
"Signed Up From","Đăng kí từ"
"Size","Cỡ"
"Sku","Mã hàng"
"Some of the products below do not have all the required options. Please edit them and configure all the required options.","Some of the products below do not have all the required options. Please edit them and configure all the required options."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"Source object is not specified.","Source object is not specified."
"Specified profile does not exist.","Specified profile does not exist."
"State Code [State Title]","State Code [State Title]"
"State/Province","State/Province"
"Status","Status"
"Status Code","Mã trạng thái"
"Status Label","Nhãn trạng thái"
"Status:","Trạng thái:"
"Store Credit","Store Credit"
"Store View Specific Labels","Store View Specific Labels"
"Street Address","Street Address"
"Submit Comment","Submit Comment"
"Submit Credit Memo","Submit Credit Memo"
"Submit Invoice","Submit Invoice"
"Submit Invoice and Shipment","Submit Invoice and Shipment"
"Submit Order","Lưu đơn hàng"
"Submit Shipment","Lưu vận chuyển"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subscribe to Order Status","Subscribe to Order Status"
"Subtotal","Tổng"
"Subtotal after discount.","Subtotal after discount."
"Subtotal:","Tổng:"
"Suspected Fraud","Vi phạm"
"Suspend","Suspend"
"Suspended","Suspended"
"Tax","Thuế"
"Tax Amount","Tiền thuế"
"Tax Percent","Tỷ lệ thuế"
"Telephone","Điện thoại"
"The Order State ""%s"" must not be set manually.","The Order State ""%s"" must not be set manually."
"The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract.","The address total model should be extended from Mage_Sales_Model_Quote_Address_Total_Abstract."
"The billing agreement ""%s"" has been canceled.","The billing agreement ""%s"" has been canceled."
"The billing agreement ""%s"" has been created.","The billing agreement ""%s"" has been created."
"The coupon code has been accepted.","The coupon code has been accepted."
"The message has been sent.","The message has been sent."
"The message was sent.","The message was sent."
"The order address has been updated.","The order address has been updated."
"The order email has been sent.","Mail đơn hàng đã được gửi đi."
"The order has been cancelled.","Đơn hàng đã được hủy."
"The order has been created.","Đơn hàng đã được tạo mới."
"The order has been put on hold.","The order has been put on hold."
"The order has been released from holding status.","The order has been released from holding status."
"The order has not been cancelled.","The order has not been cancelled."
"The order status has been assigned.","The order status has been assigned."
"The order status has been saved.","The order status has been saved."
"The order status has been unassigned.","The order status has been unassigned."
"The order was not put on hold.","The order was not put on hold."
"The order was not unheld.","The order was not unheld."
"The order was placed using %s","Đơn hàng được sử dụng %s"
"The order(s) cannot be canceled","The order(s) cannot be canceled"
"The payment has been accepted.","The payment has been accepted."
"The payment has been denied.","The payment has been denied."
"The payment has been voided.","The payment has been voided."
"The profile has been updated.","The profile has been updated."
"The profile has no changes.","The profile has no changes."
"The profile state has been updated.","The profile state has been updated."
"The quantity you want to add exceeds the total shipped quantity for some of selected Product(s)","The quantity you want to add exceeds the total shipped quantity for some of selected Product(s)"
"The requested Payment Method is not available.","The requested Payment Method is not available."
"The shipping label has been created.","The shipping label has been created."
"The transaction ""%s"" (%s) is already closed.","The transaction ""%s"" (%s) is already closed."
"The transaction ""%s"" cannot be captured yet.","The transaction ""%s"" cannot be captured yet."
"The value that you entered is not valid.","The value that you entered is not valid."
"There are no billing agreements yet.","There are no billing agreements yet."
"There are no printable documents related to selected orders.","There are no printable documents related to selected orders."
"There are no shipping labels related to selected %s.","There are no shipping labels related to selected %s."
"There is no need to approve this payment.","There is no need to approve this payment."
"There is no need to deny this payment.","There is no need to deny this payment."
"There is no update for the payment.","There is no update for the payment."
"This message will be shown in shopping cart when subtotal after discount less than minimum amount.","This message will be shown in shopping cart when subtotal after discount less than minimum amount."
"This operation requires an existing transaction object.","This operation requires an existing transaction object."
"This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed.","This order contains (%s) items and therefore cannot be edited through the admin interface at this time, if you wish to continue editing the (%s) items will be removed, the order will be canceled and a new order will be placed."
"This order no longer exists.","This order no longer exists."
"This product does not have any configurable options","This product does not have any configurable options"
"This profile state cannot be changed to ""%s"".","This profile state cannot be changed to ""%s""."
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?","This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you wish to proceed?"
"Tier Pricing","Tier Pricing"
"Title","Tiêu đề"
"To","To"
"To Name","To Name"
"To:","To:"
"Total","Tổng"
"Total %d product(s)","Tổng %d sản phẩm(s)"
"Total (ex)","Tổng cộng (ex)"
"Total (inc)","Tổng cộng (inc)"
"Total Due","Total Due"
"Total Invoiced","Tổng hóa đơn"
"Total Invoiced Paid","Total Invoiced Paid"
"Total Invoiced VS Paid Report","Total Invoiced VS Paid Report"
"Total Invoiced not Paid","Total Invoiced not Paid"
"Total Ordered Report","Total Ordered Report"
"Total Paid","Total Paid"
"Total Qty","Tổng số lượng"
"Total Refund","Total Refund"
"Total Refunded","Total Refunded"
"Total Refunded Report","Total Refunded Report"
"Total Sales Shipping","Total Sales Shipping"
"Total Shipped Report","Total Shipped Report"
"Total Shipping","Tổng vận chuyển"
"Total Shipping Charges","Tổng phí vận chuyển"
"Total Tax","Tổng thuế"
"Total Weight","Tổng cân nặng"
"Track Order","Theo dõi đơn hàng"
"Track all shipment(s)","Track all shipment(s)"
"Track all shipments","Track all shipments"
"Track this shipment","Track this shipment"
"Track your order","Theo dõi đơn hàng của bạn"
"Tracking","Theo dõi"
"Tracking Number","Số theo dõi"
"Tracking Number(s):","Số theo dõi(s):"
"Transaction ""%s"" was already processed.","Transaction ""%s"" was already processed."
"Transaction # %s | %s","Giao dịch # %s | %s"
"Transaction ID","Giao dịch ID"
"Transaction ID must not be empty.","Transaction ID must not be empty."
"Transaction ID: ""%s"".","Transaction ID: ""%s""."
"Transaction Type","Transaction Type"
"Transactions","Transactions"
"Trial ","Trial "
"Trial Payment","Trial Payment"
"Trial Period","Trial Period"
"Trial period payment","Trial period payment"
"Type","Kiểu"
"Unassign","Bỏ chỉ định"
"Unhold","Không giữ"
"Unhold action is not available.","Unhold action is not available."
"Unhold order","Giữ đơn hàng"
"Unknown State","Unknown State"
"Unknown Status","Trạng thái không xác định"
"Unsupported transaction type ""%s"".","Unsupported transaction type ""%s""."
"Update Changes","Thay đổi cập nhật"
"Update Items and Qty\'s","Cập nhật sản phẩm và số lượng\'s"
"Update Qty\'s","Cập nhật số lượng\'s"
"Updated At","Updated At"
"Updated:","Cập nhật:"
"Use Aggregated Data (beta)","Use Aggregated Data (beta)"
"Use Order Status As Default","Use Order Status As Default"
"Validate Each Address Separately in Multi-address Checkout","Validate Each Address Separately in Multi-address Checkout"
"Value","Giá trị"
"View","Xem"
"View All","Xem hết"
"View Another Order","Xem đơn hàng khác"
"View Order","Xem đơn hàng"
"Visible on Frontend","Visible on Frontend"
"Void","Trống rỗng"
"Void invoice","Hóa đơn trống"
"Voided authorization.","Voided authorization."
"Website","Website"
"Weight","Nặng"
"Whether buyer can define the date when billing for the profile begins.","Whether buyer can define the date when billing for the profile begins."
"Width","Chiều rộng"
"Wishlist","Ưa thích"
"Wrong billing agreement ID specified.","Wrong billing agreement ID specified."
"Wrong quote item id to update configuration.","Wrong quote item id to update configuration."
"Wrong state: ""%s"".","Wrong state: ""%s""."
"Yes","Có"
"You can leave a box blank if you don\'t wish to add a gift message for whole order","You can leave a box blank if you don\'t wish to add a gift message for whole order"
"You have placed no orders.","Bạn chưa có giao dịch (đơn hàng) nào."
"You will be redirected to the payment system website.","You will be redirected to the payment system website."
"Your credit card will be charged for","Your credit card will be charged for"
"ZIP/Post Code","Mã quốc gia"
"Zip/Postal Code","Mã quốc gia"
"cm","cm"
"in","in"
"kg","kg"
"lb","lb"
"the credit memo email is not sent","the credit memo email is not sent"
"the credit memo email was sent","the credit memo email was sent"
"the invoice email is not sent","mail hóa đơn chưa được gửi"
"the invoice email was sent","mail hóa đơn đã được gửi"
"the order confirmation email is not sent","email xác nhận đơn đặt hàng không được gửi"
"the order confirmation email was sent","Đã gửi email xác nhận đơn hàng"
"the shipment email is not sent","Mail lô hàng chưa được gửi"
"the shipment email was sent","Mail lô hàng đã được gửi"
